INDEX_NAME,OPEN_INDEX_VAL,HIGH_INDEX_VAL,CLOSE_INDEX_VAL,LOW_INDEX_VAL,TURN_OVER,TRADED_QTY,TIMESTAMP
NIFTY 50,23880.35,23983.2,23907.15,23858.25,34903.35,531572650,27-MAY-2026
NIFTY 50,23902.15,24002.8,23547.75,23484.75,101439.0,1198023438,29-MAY-2026
NIFTY 50,23654.5,23733.7,23382.6,23357.95,33843.74,421691204,01-JUN-2026
NIFTY 50,23229.15,23556.95,23483.55,23229.15,43063.5,511852817,02-JUN-2026
NIFTY 50,23415.95,23459.65,23405.6,23151.5,36726.56,450089851,03-JUN-2026
NIFTY 50,23282.45,23465.3,23416.55,23247.3,32848.46,412505524,04-JUN-2026
NIFTY 50,23478.95,23516.35,23366.7,23282.65,28432.83,366208223,05-JUN-2026
NIFTY 50,23080.7,23267.3,23123.0,23070.15,26550.42,375730763,08-JUN-2026
NIFTY 50,23259.05,23279.4,23242.1,23104.45,32911.17,402552937,09-JUN-2026
NIFTY 50,23233.95,23425.35,23214.95,23184.6,31906.68,380030627,10-JUN-2026
NIFTY 50,23104.4,23327.45,23161.6,23072.05,28529.75,362996956,11-JUN-2026
NIFTY 50,23412.55,23645.35,23622.9,23313.9,29593.12,351944432,12-JUN-2026
NIFTY 50,23984.85,24011.4,23853.9,23817.8,34783.09,398913735,15-JUN-2026
