symbol,series,open_price,high_price,low_price,ltp,prev_price,net_price,trade_quantity,turnover,market_type,ca_ex_dt,ca_purpose,perChange,legend
APTUS,EQ,277.5,288.4,256.0,260.5,277.2,-6.02,5845612,15793.0899404,N,15-May-2026,Interim Dividend - Rs 2.50 Per Share,-6.02,allSec
TECHNVISN,EQ,4557.7,4561.2,4415.0,4456.2,4734.6,-5.88,639,28.5972948,N,-,-,-5.88,allSec
ACI,EQ,556.0,562.15,520.05,529.9,561.2,-5.58,766730,4157.056713999999,N,05-Jun-2026,Dividend - Rs 2.50 Per Share,-5.58,allSec
SAPPHIRE,EQ,194.81,195.0,183.55,184.45,195.25,-5.53,2311099,4312.279624100001,N,05-Sep-2024,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,-5.53,allSec
SANGHVIMOV,EQ,435.0,454.0,393.45,410.0,433.95,-5.52,2026770,8412.514239,N,12-Sep-2025,Dividend - Rs 2 Per Share,-5.52,allSec
SAGILITY,EQ,45.98,46.19,43.2,43.48,45.98,-5.44,39492620,17471.535088,N,07-Aug-2026,Dividend - Re 0.10 Per Share,-5.44,allSec
STARTECK,EQ,265.45,266.2,252.6,252.6,266.7,-5.29,7117,18.9205445,N,11-Aug-2025,Dividend - Re 0.25 Per Share,-5.29,allSec
PREMIERPOL,EQ,74.63,74.63,69.01,69.73,73.53,-5.17,315123,223.64279309999998,N,17-Sep-2025,Dividend - Re 0.15 Per Share,-5.17,allSec
JNKINDIA,EQ,466.4,466.4,428.05,434.95,458.5,-5.14,288469,1276.1291621999999,N,18-Sep-2025,Dividend - Re 0.30 Per Share,-5.14,allSec
OAL,EQ,381.0,381.05,360.15,361.6,380.85,-5.05,52910,194.724673,N,08-Aug-2025,Dividend - Re 0.50 Per Share,-5.05,allSec
BALAMINES,EQ,2243.9,2258.4,2107.4,2131.0,2243.4,-5.01,198007,4315.3249566,N,03-Jul-2026,Dividend - Rs 11 Per Share,-5.01,allSec
EVERESTIND,BE,458.05,470.0,449.4,449.4,473.05,-5.0,19382,88.3644762,N,27-Jul-2026,Dividend - Re 1 Per Share,-5.0,allSec
SICALLOG,EQ,121.9,122.5,111.22,111.22,117.07,-5.0,152074,179.8883346,N,18-Feb-2026,Rights 11:5 @ Premium Rs 54/-,-5.0,allSec
MARALOVER,BE,58.36,58.36,58.36,58.36,61.43,-5.0,12707,7.4158052,N,20-Aug-2024,Annual General Meeting,-5.0,allSec
GOCOLORS,EQ,336.65,341.45,324.0,325.85,343.0,-5.0,636894,2093.6616462,N,09-Feb-2026,Buy Back,-5.0,allSec
