INDEX_NAME,OPEN_INDEX_VAL,HIGH_INDEX_VAL,CLOSE_INDEX_VAL,LOW_INDEX_VAL,TURN_OVER,TRADED_QTY,TIMESTAMP,index_name
NIFTY ENERGY,39545.65,39617.1,39188.45,39116.85,9766.66,319422331,07-JUL-2026,NIFTY ENERGY
NIFTY ENERGY,39255.3,39600.35,39481.45,39167.5,10573.11,326131212,06-JUL-2026,NIFTY ENERGY
NIFTY ENERGY,39642.2,39642.2,39178.6,39146.5,14320.82,354044744,03-JUL-2026,NIFTY ENERGY
NIFTY ENERGY,39816.05,39835.3,39707.0,39473.5,10331.52,355878335,02-JUL-2026,NIFTY ENERGY
NIFTY ENERGY,39827.35,39936.7,39764.85,39674.55,8920.27,679270720,01-JUL-2026,NIFTY ENERGY
NIFTY ENERGY,39784.75,39848.05,39740.5,39521.2,10684.6,436409300,30-JUN-2026,NIFTY ENERGY
NIFTY ENERGY,39666.35,39796.6,39718.0,39273.05,21824.3,623252023,29-JUN-2026,NIFTY ENERGY
NIFTY ENERGY,40080.2,40165.15,39637.0,39569.25,10965.38,372909376,25-JUN-2026,NIFTY ENERGY
NIFTY ENERGY,40215.95,40298.05,39908.4,39828.9,9123.98,338432174,24-JUN-2026,NIFTY ENERGY
NIFTY ENERGY,40850.05,40879.05,40268.7,40203.7,9376.3,353677581,23-JUN-2026,NIFTY ENERGY
NIFTY ENERGY,40651.15,40810.1,40773.8,40533.95,9687.28,459151524,22-JUN-2026,NIFTY ENERGY
NIFTY ENERGY,40450.95,40614.95,40548.1,40293.95,13148.57,478523164,19-JUN-2026,NIFTY ENERGY
NIFTY ENERGY,40309.9,40518.45,40457.3,40013.3,10857.33,423909306,18-JUN-2026,NIFTY ENERGY
NIFTY ENERGY,39985.6,40259.1,40238.45,39873.55,9755.74,495948551,17-JUN-2026,NIFTY ENERGY
NIFTY ENERGY,39669.45,39980.95,39915.4,39520.2,11453.97,647260493,16-JUN-2026,NIFTY ENERGY
NIFTY ENERGY,39862.6,39870.45,39493.95,39430.0,12731.94,484384928,15-JUN-2026,NIFTY ENERGY
NIFTY MEDIA,1513.4,1519.5,1503.7,1498.95,417.74,23423744,15-JUL-2026,NIFTY MEDIA
NIFTY MEDIA,1514.1,1522.35,1510.6,1503.35,534.59,49050164,14-JUL-2026,NIFTY MEDIA
NIFTY MEDIA,1482.4,1521.15,1515.3,1475.9,480.9,39520173,13-JUL-2026,NIFTY MEDIA
NIFTY MEDIA,1493.75,1505.05,1484.3,1481.05,356.18,28605176,10-JUL-2026,NIFTY MEDIA
NIFTY MEDIA,1455.2,1492.45,1482.8,1450.8,722.89,40628829,09-JUL-2026,NIFTY MEDIA
NIFTY MEDIA,1478.15,1484.0,1452.45,1446.7,366.36,31691571,08-JUL-2026,NIFTY MEDIA
NIFTY MEDIA,1502.3,1503.5,1486.8,1473.5,424.24,34070523,07-JUL-2026,NIFTY MEDIA
NIFTY MEDIA,1514.85,1516.75,1497.95,1489.2,377.5,28325334,06-JUL-2026,NIFTY MEDIA
NIFTY MEDIA,1526.1,1532.5,1512.3,1506.8,334.63,25152060,03-JUL-2026,NIFTY MEDIA
NIFTY MEDIA,1517.65,1526.9,1519.15,1503.95,803.73,63809490,02-JUL-2026,NIFTY MEDIA
NIFTY MEDIA,1486.85,1533.75,1509.05,1486.65,893.41,81200860,01-JUL-2026,NIFTY MEDIA
NIFTY MEDIA,1491.25,1496.1,1478.4,1475.65,473.98,36535857,30-JUN-2026,NIFTY MEDIA
NIFTY MEDIA,1509.35,1516.55,1489.85,1484.35,455.9,31609907,29-JUN-2026,NIFTY MEDIA
NIFTY MEDIA,1523.85,1529.4,1509.8,1504.55,446.3,34399728,25-JUN-2026,NIFTY MEDIA
NIFTY MEDIA,1515.05,1521.85,1519.3,1498.95,375.47,33024466,24-JUN-2026,NIFTY MEDIA
NIFTY MEDIA,1541.4,1550.2,1514.4,1509.3,521.75,44308069,23-JUN-2026,NIFTY MEDIA
NIFTY MEDIA,1519.2,1541.8,1536.95,1516.6,602.75,52655015,22-JUN-2026,NIFTY MEDIA
